epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,2904.47,1.1744,0.59822,1.06028,0.78366,0.73481,0.78965,0.42521,1.40602,0.70803,1.22434,0.00687222,0.00687222,0.00687222
78,2941.99,1.17707,0.59457,1.0618,0.77932,0.73519,0.78795,0.42492,1.41,0.70843,1.2259,0.0067997,0.0067997,0.0067997
79,2979.6,1.17814,0.59345,1.0588,0.78892,0.73759,0.78995,0.42522,1.41315,0.70717,1.22645,0.00672675,0.00672675,0.00672675
80,3017.45,1.17157,0.59041,1.05551,0.78228,0.74065,0.79059,0.42478,1.41349,0.70616,1.2277,0.00665339,0.00665339,0.00665339
81,3055.19,1.17312,0.58997,1.05581,0.79925,0.72257,0.78874,0.42491,1.41369,0.70656,1.22955,0.00657963,0.00657963,0.00657963
82,3092.91,1.17091,0.59279,1.05574,0.7999,0.7254,0.78932,0.42584,1.41351,0.70604,1.23043,0.0065055,0.0065055,0.0065055
83,3130.71,1.16742,0.59206,1.0555,0.8042,0.72018,0.7891,0.4249,1.416,0.70523,1.23231,0.00643101,0.00643101,0.00643101
84,3168.38,1.16511,0.58795,1.0488,0.79875,0.72084,0.78929,0.42494,1.41207,0.70431,1.22954,0.00635617,0.00635617,0.00635617
85,3206.13,1.16558,0.58512,1.0514,0.79012,0.72326,0.78598,0.42079,1.41482,0.70561,1.23004,0.00628101,0.00628101,0.00628101
86,3243.64,1.16244,0.58178,1.04984,0.79162,0.72284,0.7854,0.42078,1.41471,0.70409,1.23101,0.00620555,0.00620555,0.00620555
87,3281.29,1.16039,0.58111,1.05116,0.79029,0.72677,0.78798,0.42129,1.4137,0.70248,1.23075,0.00612981,0.00612981,0.00612981
88,3318.88,1.16147,0.58241,1.05117,0.78496,0.73195,0.78674,0.42147,1.41403,0.70219,1.23008,0.0060538,0.0060538,0.0060538
89,3356.47,1.15414,0.57747,1.04602,0.78967,0.72512,0.78583,0.42196,1.41509,0.70191,1.23113,0.00597754,0.00597754,0.00597754
90,3394.12,1.15146,0.57753,1.04578,0.79951,0.71881,0.78331,0.42182,1.41325,0.70003,1.2303,0.00590105,0.00590105,0.00590105
91,36.9541,1.13743,0.56522,1.04287,0.79219,0.72248,0.7851,0.422,1.41464,0.70015,1.23126,0.00582435,0.00582435,0.00582435
92,73.8148,1.15072,0.57577,1.04441,0.79044,0.72774,0.7848,0.42189,1.41328,0.69935,1.23001,0.00574746,0.00574746,0.00574746
93,111.256,1.15151,0.57308,1.04638,0.7864,0.72409,0.78133,0.42009,1.41252,0.70004,1.22984,0.0056704,0.0056704,0.0056704
94,148.834,1.14507,0.57285,1.04466,0.78411,0.72417,0.78216,0.42064,1.41297,0.70096,1.22992,0.00559318,0.00559318,0.00559318
95,186.42,1.15049,0.57387,1.04589,0.79768,0.71242,0.78357,0.42135,1.41565,0.70129,1.23125,0.00551584,0.00551584,0.00551584
96,224.037,1.14088,0.57063,1.03921,0.79961,0.71081,0.78253,0.42141,1.41654,0.70131,1.2317,0.00543837,0.00543837,0.00543837
97,261.576,1.14056,0.56854,1.04205,0.79905,0.71309,0.7835,0.42193,1.41624,0.70098,1.23155,0.00536081,0.00536081,0.00536081
98,299.185,1.14018,0.56813,1.04183,0.80633,0.71008,0.78276,0.42235,1.41811,0.70105,1.23314,0.00528318,0.00528318,0.00528318
99,336.832,1.13653,0.56692,1.03877,0.80729,0.71158,0.78149,0.42135,1.41936,0.70136,1.23379,0.00520548,0.00520548,0.00520548
100,374.518,1.13468,0.56221,1.03612,0.80952,0.71201,0.78256,0.42115,1.41753,0.70064,1.23355,0.00512775,0.00512775,0.00512775
101,411.935,1.13331,0.56403,1.03524,0.81199,0.71323,0.78345,0.4214,1.41542,0.69971,1.23293,0.00505,0.00505,0.00505
102,449.441,1.12791,0.56044,1.0367,0.80459,0.71624,0.7826,0.42176,1.41585,0.6993,1.23387,0.00497225,0.00497225,0.00497225
103,486.983,1.12635,0.55834,1.03566,0.79853,0.71532,0.78169,0.42255,1.41685,0.69927,1.23471,0.00489452,0.00489452,0.00489452
104,524.532,1.12958,0.56071,1.03734,0.80584,0.71046,0.78123,0.42158,1.41785,0.69916,1.23558,0.00481682,0.00481682,0.00481682
105,562.061,1.12881,0.56062,1.03406,0.80729,0.70983,0.78246,0.42153,1.41742,0.69921,1.23526,0.00473919,0.00473919,0.00473919
106,599.862,1.11955,0.55376,1.03021,0.80908,0.70622,0.78237,0.42066,1.41845,0.6992,1.23592,0.00466163,0.00466163,0.00466163
107,637.796,1.11796,0.55142,1.03249,0.81505,0.70593,0.78201,0.42072,1.41982,0.69887,1.23728,0.00458416,0.00458416,0.00458416
108,675.501,1.12106,0.55458,1.03559,0.81273,0.70781,0.783,0.42106,1.41932,0.69859,1.23714,0.00450682,0.00450682,0.00450682
